Coder,Timestamp,Input URL [URL],Input ID [ID],Post availability,Image(s)/Video(s) included,AI Image/Video,AI Labeling in Image/Video,AI Labeling in Post Text,AI Labeling in Post/Ad,Theme of the Image/Video,Nature of the Image/Video,Number of People in the Image/Video,People in the Image/Video,Names of Actors,Actors,Topics,Negative Tendency/Tonality,Type of Attack,Target of Attack,Positive Tendency/Tonality,Here it is coded which specific aspect the recognition/acclaim is directed at. Five types of acclaim are distinguished. Each of the following categories is coded with “1” if this type of acclaim is present in the post; otherwise “0.”,Target of Acclaim,Column 1
Lynn,14/09/2025 10:59:55,https://www.facebook.com/GeenAangifte/posts/pfbid02djzLwCcF8ZAqPCQRJ9KzJoKC29JZy2VZc4b6uzcNeqr5jjAxQcEfx7vPRiLB4whtl,7492062436552494358,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Negative imagery/Negative campaigning: The image/video portrays the political opponent in a negative light. This can happen through sharp criticism or with humor., Humor / Satire (depictions used to mock, exaggerate, or parody)","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.), GL-PvdA: Frans Timmermans, Representatives of non-political institutions (e.g., police, churches, military, other public institutions)",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), Dutch government, ministries, parliament, and courts (ALSO KABINET SCHOOF), GL-PvdA: Frans Timmermans, PVV, PVV: Geert Wilders","Political parties and politicians (candidate presentation; politicians as the main subject), Economy and finance",Negative tendency/tonality present,"Attack on a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)",GL-PvdA: Frans Timmermans,Positive tendency/tonality NOT present,NA,NA,1
Ella,14/09/2025 16:42:47,https://www.facebook.com/GeenAangifte/posts/pfbid02djzLwCcF8ZAqPCQRJ9KzJoKC29JZy2VZc4b6uzcNeqr5jjAxQcEfx7vPRiLB4whtl,pfbid02djzLwCcF8ZAqPCQRJ9KzJoKC29JZy2VZc4b6uzcNeqr5jjAxQcEfx7vPRiLB4whtl,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,Negative imagery/Negative campaigning: The image/video portrays the political opponent in a negative light. This can happen through sharp criticism or with humor.,"The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"GL-PvdA: Frans Timmermans, Foreign politicians from EU, UN, NATO, Representatives of non-political institutions (e.g., police, churches, military, other public institutions), Representatives of social movements (e.g., Fridays for Future, Identitarian Movement, QAnon, #MeToo movement)",x,"GL-PvdA, GL-PvdA: Frans Timmermans, PVV, PVV: Geert Wilders, Europe/EU/NATO, EU/NATO institutions and bodies & their representatives (e.g., Members of the European Parliament, EU/NATO officials, European parties & party families such as EPP, S&D, ID), (Representatives of) non-political institutions (e.g., police, churches, military, public institutions), (Representatives of) social movements (e.g., Fridays for Future, Identitarian Movement, QAnon, #MeToo movement)","Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Environmental and energy policy, Europe",Negative tendency/tonality present,"Attack on political issues/achievements/ideologies (e.g., past or future achievements), Attack on a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)",GL-PvdA: Frans Timmermans,Positive tendency/tonality NOT present,NA,NA,2
Doortje,14/09/2025 22:44:51,https://www.facebook.com/GeenAangifte/posts/pfbid02djzLwCcF8ZAqPCQRJ9KzJoKC29JZy2VZc4b6uzcNeqr5jjAxQcEfx7vPRiLB4whtl,pfbid02djzLwCcF8ZAqPCQRJ9KzJoKC29JZy2VZc4b6uzcNeqr5jjAxQcEfx7vPRiLB4whtl,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Political positioning, Negative imagery/Negative campaigning: The image/video portrays the political opponent in a negative light. This can happen through sharp criticism or with humor., Humor / Satire (depictions used to mock, exaggerate, or parody)","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.), GL-PvdA: Frans Timmermans",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), GL-PvdA, GL-PvdA: Frans Timmermans, PVV, PVV: Geert Wilders, Europe/EU/NATO, EU/NATO institutions and bodies & their representatives (e.g., Members of the European Parliament, EU/NATO officials, European parties & party families such as EPP, S&D, ID)","Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Environmental and energy policy",Negative tendency/tonality present,"Attack on a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)","GL-PvdA, GL-PvdA: Frans Timmermans",Positive tendency/tonality NOT present,NA,NA,2
Lynn,14/09/2025 11:05:01,https://www.facebook.com/GeenAangifte/posts/pfbid09nz6sTciccCFnRfKcYnp7NFayVAtHNDVVbJBmUNejMPDqhJtyLJaLsziNvXpRTg3l,7545125378071760161,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,Political positioning,"The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.), Representatives of non-political institutions (e.g., police, churches, military, other public institutions)",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), PVV, PVV: Geert Wilders, (Representatives of) non-political institutions (e.g., police, churches, military, public institutions)","Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism), Foreign, security, and defense policy, Housing (Crisis), Education and culture",Negative tendency/tonality NOT present,NA,NA,Positive tendency/tonality NOT present,NA,NA,3
Ella,14/09/2025 16:47:00,https://www.facebook.com/GeenAangifte/posts/pfbid09nz6sTciccCFnRfKcYnp7NFayVAtHNDVVbJBmUNejMPDqhJtyLJaLsziNvXpRTg3l,pfbid09nz6sTciccCFnRfKcYnp7NFayVAtHNDVVbJBmUNejMPDqhJtyLJaLsziNvXpRTg3l,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Political positioning, Events/Landscape & city scenes: Unlike a symbolic image, people/politicians are doing something, moving, or working (e.g., groups such as politicians, refugees, farmers, protesters, police officers, etc.). Alternatively, a city or (natural) landscape is shown where something is happening (e.g., forest dieback, fire, or flooding, nuclear power plants or wind turbines).","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.), Illegal actors, criminals, offenders, terrorists, extremists / extremist groups. Actors who commit generally criminally relevant actions without being associated with a specific party, business, (non-terrorist) organization, or (non-extremist) social movement (please code them accordingly); actors who plan and carry out criminal activities in a structured group; actors who use violence, Representatives of non-political institutions (e.g., police, churches, military, other public institutions)",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), Illegal actors, criminals, offenders, terrorists, extremists / extremist groups. Actors who commit generally criminally relevant actions without being associated with a specific party, business, (non-terrorist) organization, or (non-extremist) social movement (please code accordingly). This also includes actors who plan and carry out criminal activities in a structured group and actors who use violence., PVV, PVV: Geert Wilders, (Representatives of) non-political institutions (e.g., police, churches, military, public institutions)","Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism), Housing (Crisis), Education and culture",Negative tendency/tonality NOT present,NA,NA,Positive tendency/tonality NOT present,NA,NA,4
Doortje,14/09/2025 22:52:07,https://www.facebook.com/GeenAangifte/posts/pfbid09nz6sTciccCFnRfKcYnp7NFayVAtHNDVVbJBmUNejMPDqhJtyLJaLsziNvXpRTg3l,pfbid09nz6sTciccCFnRfKcYnp7NFayVAtHNDVVbJBmUNejMPDqhJtyLJaLsziNvXpRTg3l,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Political positioning, Positive imagery/Acclaims: The image/video portrays past and future achievements of the party/government in a positive light. This includes drawing a positive balance, saying “thank you” to campaign helpers, or positively discussing political plans/goals., Events/Landscape & city scenes: Unlike a symbolic image, people/politicians are doing something, moving, or working (e.g., groups such as politicians, refugees, farmers, protesters, police officers, etc.). Alternatively, a city or (natural) landscape is shown where something is happening (e.g., forest dieback, fire, or flooding, nuclear power plants or wind turbines).","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.), Illegal actors, criminals, offenders, terrorists, extremists / extremist groups. Actors who commit generally criminally relevant actions without being associated with a specific party, business, (non-terrorist) organization, or (non-extremist) social movement (please code them accordingly); actors who plan and carry out criminal activities in a structured group; actors who use violence",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), Illegal actors, criminals, offenders, terrorists, extremists / extremist groups. Actors who commit generally criminally relevant actions without being associated with a specific party, business, (non-terrorist) organization, or (non-extremist) social movement (please code accordingly). This also includes actors who plan and carry out criminal activities in a structured group and actors who use violence., PVV, PVV: Geert Wilders","Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism), Housing (Crisis), Education and culture",Negative tendency/tonality NOT present,NA,NA,Positive tendency/tonality present,"Acclaim/Praise/Recognition of a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)","PVV, PVV: Geert Wilders",4
Lynn,14/09/2025 10:11:34,https://www.facebook.com/PartijvoordeDieren/posts/pfbid02hCPaP6Ygh5unqjn9tJiBPERa8DXbh6dRP6KgYERcb93GY3eRX2vKFTttbepbKRMEl,7545859322257919265,Post available,One or more images included,"No, the image/video is NOT AI-generated / It is completely real or “photoshopped”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Doortje,14/09/2025 21:41:50,https://www.facebook.com/PartijvoordeDieren/posts/pfbid02hCPaP6Ygh5unqjn9tJiBPERa8DXbh6dRP6KgYERcb93GY3eRX2vKFTttbepbKRMEl,7545859322257919265,Post available,One or more images included,"No, the image/video is NOT AI-generated / It is completely real or “photoshopped”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Ella,14/09/2025 15:59:42,https://www.facebook.com/PartijvoordeDieren/posts/pfbid02hCPaP6Ygh5unqjn9tJiBPERa8DXbh6dRP6KgYERcb93GY3eRX2vKFTttbepbKRMEl,pfbid02hCPaP6Ygh5unqjn9tJiBPERa8DXbh6dRP6KgYERcb93GY3eRX2vKFTttbepbKRMEl,Post available,One or more images included,"No, the image/video is NOT AI-generated / It is completely real or “photoshopped”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Lynn,14/09/2025 09:58:05,https://www.facebook.com/photo.php?fbid=1076106984709992,DNoKX5ko7-R,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,Political positioning,"The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.), (Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), Illegal actors, criminals, offenders, terrorists, extremists / extremist groups. Actors who commit generally criminally relevant actions without being associated with a specific party, business, (non-terrorist) organization, or (non-extremist) social movement (please code them accordingly); actors who plan and carry out criminal activities in a structured group; actors who use violence",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), (Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), Illegal actors, criminals, offenders, terrorists, extremists / extremist groups. Actors who commit generally criminally relevant actions without being associated with a specific party, business, (non-terrorist) organization, or (non-extremist) social movement (please code accordingly). This also includes actors who plan and carry out criminal activities in a structured group and actors who use violence., PVV","Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism), Housing (Crisis)",Negative tendency/tonality present,"Attack on political issues/achievements/ideologies (e.g., past or future achievements)","(Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), Illegal actors, criminals, offenders, terrorists, extremists / extremist groups. Actors who commit generally criminally relevant actions without being associated with a specific party, business, (non-terrorist) organization, or (non-extremist) social movement (please code accordingly). This also includes actors who plan and carry out criminal activities in a structured group and actors who use violence.",Positive tendency/tonality NOT present,NA,NA,7
Ella,14/09/2025 14:14:49,https://www.facebook.com/photo.php?fbid=1076106984709992,DNoKX5ko7-R,Post available,One or more images included,I am unsure whether the image/video (or parts of it) is AI-generated,The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,Political positioning,"The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.)",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), (Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), PVV","Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Labor and social issues, Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism), Housing (Crisis)",Negative tendency/tonality present,Other form of attack/negative tonality,"(Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), Illegal actors, criminals, offenders, terrorists, extremists / extremist groups. Actors who commit generally criminally relevant actions without being associated with a specific party, business, (non-terrorist) organization, or (non-extremist) social movement (please code accordingly). This also includes actors who plan and carry out criminal activities in a structured group and actors who use violence.",Positive tendency/tonality NOT present,NA,NA,7
Doortje,14/09/2025 21:18:46,https://www.facebook.com/photo.php?fbid=1076106984709992,DNoKX5ko7-R,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Political positioning, Negative imagery/Negative campaigning: The image/video portrays the political opponent in a negative light. This can happen through sharp criticism or with humor.","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.), (Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority)",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), (Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), PVV","Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism)",Negative tendency/tonality present,"Attack on political issues/achievements/ideologies (e.g., past or future achievements)","(Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), Illegal actors, criminals, offenders, terrorists, extremists / extremist groups. Actors who commit generally criminally relevant actions without being associated with a specific party, business, (non-terrorist) organization, or (non-extremist) social movement (please code accordingly). This also includes actors who plan and carry out criminal activities in a structured group and actors who use violence.",Positive tendency/tonality NOT present,NA,NA,7
Lynn,14/09/2025 09:43:53,https://www.facebook.com/photo.php?fbid=1085477823772908,DN48wC9j8nU,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Political positioning, Negative imagery/Negative campaigning: The image/video portrays the political opponent in a negative light. This can happen through sharp criticism or with humor.","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.)",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), (Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), PVV, PVV: Geert Wilders, VVD","Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Labor and social issues, Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism)",Negative tendency/tonality present,"Attack on a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)",VVD,Positive tendency/tonality NOT present,NA,NA,8
Ella,14/09/2025 14:02:26,https://www.facebook.com/photo.php?fbid=1085477823772908,DN48wC9j8nU,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Political positioning, Negative imagery/Negative campaigning: The image/video portrays the political opponent in a negative light. This can happen through sharp criticism or with humor.","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.)",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), PVV, PVV: Geert Wilders, VVD","Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Labor and social issues, Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism)",Negative tendency/tonality present,"Attack on political issues/achievements/ideologies (e.g., past or future achievements)",VVD,Positive tendency/tonality present,"Acclaim/Praise/Recognition of a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)",PVV,8
