Coder,Timestamp,Input URL [URL],Input ID [ID],Post availability,Image(s)/Video(s) included,AI Image/Video,AI Labeling in Image/Video,AI Labeling in Post Text,AI Labeling in Post/Ad,Theme of the Image/Video,Nature of the Image/Video,Number of People in the Image/Video,People in the Image/Video,Names of Actors,Actors,Topics,Negative Tendency/Tonality,Type of Attack,Target of Attack,Positive Tendency/Tonality,Here it is coded which specific aspect the recognition/acclaim is directed at. Five types of acclaim are distinguished. Each of the following categories is coded with “1” if this type of acclaim is present in the post; otherwise “0.”,Target of Acclaim,Column 1
Doortje,14/09/2025 21:01:49,https://www.facebook.com/photo.php?fbid=1085477823772908,DN48wC9j8nU,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Political positioning, Negative imagery/Negative campaigning: The image/video portrays the political opponent in a negative light. This can happen through sharp criticism or with humor., Humor / Satire (depictions used to mock, exaggerate, or parody)","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.)",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), PVV, PVV: Geert Wilders, VVD","Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Labor and social issues, Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism)",Negative tendency/tonality present,"Attack on a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)",VVD,Positive tendency/tonality NOT present,NA,NA,8
Lynn,13/09/2025 13:37:51,https://www.facebook.com/photo.php?fbid=1090982176555806,1085477823772908,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Political positioning, Nostalgic / historical Dutch imagery (references to glorified past or national symbols)","The image/video does NOT contain real-looking content or does not give the impression of showing real objects, people, or events (e.g., graphics, drawings, cartoons, illustrations).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.)",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), Illegal actors, criminals, offenders, terrorists, extremists / extremist groups. Actors who commit generally criminally relevant actions without being associated with a specific party, business, (non-terrorist) organization, or (non-extremist) social movement (please code accordingly). This also includes actors who plan and carry out criminal activities in a structured group and actors who use violence., PVV, PVV: Geert Wilders","Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism)",Negative tendency/tonality present,"Attack on political issues/achievements/ideologies (e.g., past or future achievements)","Illegal actors, criminals, offenders, terrorists, extremists / extremist groups. Actors who commit generally criminally relevant actions without being associated with a specific party, business, (non-terrorist) organization, or (non-extremist) social movement (please code accordingly). This also includes actors who plan and carry out criminal activities in a structured group and actors who use violence.",Positive tendency/tonality present,"Acclaim/Praise/Recognition of political issues/achievements/ideologies (e.g., past or future achievements)",PVV,9
Ella,14/09/2025 13:50:06,https://www.facebook.com/photo.php?fbid=1090982176555806,1085477823772908,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,Fantasy / futuristic scenarios or depictions of imagined or speculative realities (utopian or dystopian future Netherlands),"The image/video does NOT contain real-looking content or does not give the impression of showing real objects, people, or events (e.g., graphics, drawings, cartoons, illustrations).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.)",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), PVV, PVV: Geert Wilders","Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism)",Negative tendency/tonality present,Other form of attack/negative tonality,"Illegal actors, criminals, offenders, terrorists, extremists / extremist groups. Actors who commit generally criminally relevant actions without being associated with a specific party, business, (non-terrorist) organization, or (non-extremist) social movement (please code accordingly). This also includes actors who plan and carry out criminal activities in a structured group and actors who use violence.",Positive tendency/tonality NOT present,NA,NA,9
Doortje,14/09/2025 19:59:49,https://www.facebook.com/photo.php?fbid=1090982176555806,1085477823772908,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,Nostalgic / historical Dutch imagery (references to glorified past or national symbols),"The image/video does NOT contain real-looking content or does not give the impression of showing real objects, people, or events (e.g., graphics, drawings, cartoons, illustrations).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.)",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), Illegal actors, criminals, offenders, terrorists, extremists / extremist groups. Actors who commit generally criminally relevant actions without being associated with a specific party, business, (non-terrorist) organization, or (non-extremist) social movement (please code accordingly). This also includes actors who plan and carry out criminal activities in a structured group and actors who use violence., PVV, PVV: Geert Wilders","Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism)",Negative tendency/tonality present,"Attack on a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)","(Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), Illegal actors, criminals, offenders, terrorists, extremists / extremist groups. Actors who commit generally criminally relevant actions without being associated with a specific party, business, (non-terrorist) organization, or (non-extremist) social movement (please code accordingly). This also includes actors who plan and carry out criminal activities in a structured group and actors who use violence.",Positive tendency/tonality NOT present,NA,NA,9
Lynn,13/09/2025 13:28:53,https://www.facebook.com/photo.php?fbid=1111920217795335,DOQupKxjYWE,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Political positioning, Fantasy / futuristic scenarios or depictions of imagined or speculative realities (utopian or dystopian future Netherlands)","The image/video does NOT contain real-looking content or does not give the impression of showing real objects, people, or events (e.g., graphics, drawings, cartoons, illustrations).",No person shown,NA,NA,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), (Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), PVV, PVV: Geert Wilders","Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism)",Negative tendency/tonality present,"Attack on political issues/achievements/ideologies (e.g., past or future achievements)","(Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority)",Positive tendency/tonality present,"Acclaim/Praise/Recognition of political issues/achievements/ideologies (e.g., past or future achievements)","PVV, PVV: Geert Wilders",10
Ella,14/09/2025 13:43:11,https://www.facebook.com/photo.php?fbid=1111920217795335,DOQupKxjYWE,Post available,One or more images included,"Yes, the image/video is COMPLETELY AI-generated",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,Fantasy / futuristic scenarios or depictions of imagined or speculative realities (utopian or dystopian future Netherlands),"The image/video does NOT contain real-looking content or does not give the impression of showing real objects, people, or events (e.g., graphics, drawings, cartoons, illustrations).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.), (Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority)",x,"PVV, PVV: Geert Wilders","Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism)",Negative tendency/tonality present,Other form of attack/negative tonality,"(Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority)",Positive tendency/tonality NOT present,NA,NA,10
Doortje,14/09/2025 19:48:29,https://www.facebook.com/photo.php?fbid=1111920217795335,DOQupKxjYWE,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Political positioning, Fantasy / futuristic scenarios or depictions of imagined or speculative realities (utopian or dystopian future Netherlands)","The image/video does NOT contain real-looking content or does not give the impression of showing real objects, people, or events (e.g., graphics, drawings, cartoons, illustrations).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.), (Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority)",x,"PVV, PVV: Geert Wilders","Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism)",Negative tendency/tonality present,"Attack on political issues/achievements/ideologies (e.g., past or future achievements)","(Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority)",Positive tendency/tonality NOT present,NA,NA,10
Ella,14/09/2025 16:31:18,https://www.facebook.com/photo.php?fbid=1117053157282041,1117053157282041,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Symbolic image of person(s)/politician(s)/citizen(s) looking directly into the camera (classic campaign poster image)., Humor / Satire (depictions used to mock, exaggerate, or parody)","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,GL-PvdA: Frans Timmermans,x,"GL-PvdA, GL-PvdA: Frans Timmermans, PVV","Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Economy and finance",Negative tendency/tonality present,"Attack on political issues/achievements/ideologies (e.g., past or future achievements), Attack on a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)","GL-PvdA, GL-PvdA: Frans Timmermans",Positive tendency/tonality NOT present,NA,NA,11
Doortje,14/09/2025 22:26:44,https://www.facebook.com/photo.php?fbid=1117053157282041,1117053157282041,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Negative imagery/Negative campaigning: The image/video portrays the political opponent in a negative light. This can happen through sharp criticism or with humor., Humor / Satire (depictions used to mock, exaggerate, or parody)","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,GL-PvdA: Frans Timmermans,x,"GL-PvdA, GL-PvdA: Frans Timmermans, PVV","Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Economy and finance",Negative tendency/tonality present,"Attack on a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)","GL-PvdA, GL-PvdA: Frans Timmermans",Positive tendency/tonality NOT present,NA,NA,11
Lynn,14/09/2025 10:50:40,https://www.facebook.com/photo.php?fbid=1117053157282041,pfbid02djzLwCcF8ZAqPCQRJ9KzJoKC29JZy2VZc4b6uzcNeqr5jjAxQcEfx7vPRiLB4whtl,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Negative imagery/Negative campaigning: The image/video portrays the political opponent in a negative light. This can happen through sharp criticism or with humor., Symbolic image of person(s)/politician(s)/citizen(s) looking directly into the camera (classic campaign poster image)., Humor / Satire (depictions used to mock, exaggerate, or parody)","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,GL-PvdA: Frans Timmermans,x,"GL-PvdA, GL-PvdA: Frans Timmermans, PVV","Political parties and politicians (candidate presentation; politicians as the main subject), Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Economy and finance",Negative tendency/tonality present,"Attack on a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)","GL-PvdA, GL-PvdA: Frans Timmermans",Positive tendency/tonality NOT present,NA,NA,2
Ella,14/09/2025 14:03:19,https://www.facebook.com/photo.php?fbid=1325833372239310,1.33E+15,Post available,One or more images included,"No, the image/video is NOT AI-generated / It is completely real or “photoshopped”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
Lynn,14/09/2025 09:48:16,https://www.facebook.com/photo.php?fbid=1325833372239310,1.32583E+15,Post available,One or more images included,"No, the image/video is NOT AI-generated / It is completely real or “photoshopped”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
Doortje,14/09/2025 21:03:20,https://www.facebook.com/photo.php?fbid=1325833372239310,https://www.facebook.com/photo.php?fbid=1325833372239310,Post available,One or more images included,"No, the image/video is NOT AI-generated / It is completely real or “photoshopped”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
Ella,14/09/2025 15:57:26,https://www.instagram.com/p/DN48wC9j8nU,DN48wC9j8nU,Post available,One or more images included,"No, the image/video is NOT AI-generated / It is completely real or “photoshopped”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
Lynn,14/09/2025 10:10:42,https://www.instagram.com/p/DN48wC9j8nU,DNjDo9uoLzu,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Symbolic image of person(s)/politician(s)/citizen(s) looking directly into the camera (classic campaign poster image)., Other imagery","The image/video contains real-looking content or gives the impression of showing real objects, people, or events (Could the image/video also have been captured with a camera?).",Person(s) shown,Other VVD politicians,x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), VVD, Other VVD politicians",Education and culture,Negative tendency/tonality NOT present,NA,NA,Positive tendency/tonality NOT present,NA,NA,15
Doortje,14/09/2025 21:37:47,https://www.instagram.com/p/DN48wC9j8nU,DNjDo9uoLzu,Post available,One or more images included,"The image/video is PARTLY AI-generated, meaning it contains both AI-generated and real or “photoshopped” content.",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,Other imagery,"The image/video does NOT contain real-looking content or does not give the impression of showing real objects, people, or events (e.g., graphics, drawings, cartoons, illustrations).",Person(s) shown,"Other VVD politicians, Other persons","Leeuwinga, Lezaire, Nooter, Rood-de Wit, Ruijter, Visser, Plak-Schouten, Peelen","VVD, Other VVD politicians",Other political topic,Negative tendency/tonality NOT present,NA,NA,Positive tendency/tonality NOT present,NA,NA,15
Lynn,14/09/2025 10:28:51,https://www.instagram.com/p/DNjDo9uoLzu/,1117053157282041,Post available,One or more images included,"Yes, the image/video is COMPLETELY AI-generated",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Political positioning, Negative imagery/Negative campaigning: The image/video portrays the political opponent in a negative light. This can happen through sharp criticism or with humor., Humor / Satire (depictions used to mock, exaggerate, or parody)","The image/video does NOT contain real-looking content or does not give the impression of showing real objects, people, or events (e.g., graphics, drawings, cartoons, illustrations).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.), GL-PvdA: Frans Timmermans",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), (Members of) minorities, e.g., refugees, LGBTQ+, people with disabilities, Jewish people, women (when women are explicitly labeled, depicted, or referred to as a minority), GL-PvdA, GL-PvdA: Frans Timmermans, PVV, PVV: Geert Wilders, FvD","Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism), Environmental and energy policy, Housing (Crisis)",Negative tendency/tonality present,"Attack on a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)","GL-PvdA, GL-PvdA: Frans Timmermans",Positive tendency/tonality NOT present,NA,NA,11
Ella,14/09/2025 16:13:45,https://www.instagram.com/p/DNjDo9uoLzu/,DNjDo9uoLzu,Post available,One or more images included,"Yes, the image/video is COMPLETELY AI-generated",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Negative imagery/Negative campaigning: The image/video portrays the political opponent in a negative light. This can happen through sharp criticism or with humor., Humor / Satire (depictions used to mock, exaggerate, or parody)","The image/video does NOT contain real-looking content or does not give the impression of showing real objects, people, or events (e.g., graphics, drawings, cartoons, illustrations).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.), GL-PvdA: Frans Timmermans",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), GL-PvdA, GL-PvdA: Frans Timmermans, PVV, PVV: Geert Wilders, FvD, Other actors","Economy and finance, Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism), Environmental and energy policy",Negative tendency/tonality present,"Attack on political issues/achievements/ideologies (e.g., past or future achievements), Attack on a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)","GL-PvdA, GL-PvdA: Frans Timmermans, Other actors",Positive tendency/tonality NOT present,NA,NA,15
Doortje,14/09/2025 22:07:09,https://www.instagram.com/p/DNjDo9uoLzu/,DNjDo9uoLzu,Post available,One or more images included,"Yes, the image/video is COMPLETELY AI-generated",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,"Negative imagery/Negative campaigning: The image/video portrays the political opponent in a negative light. This can happen through sharp criticism or with humor., Humor / Satire (depictions used to mock, exaggerate, or parody)","The image/video does NOT contain real-looking content or does not give the impression of showing real objects, people, or events (e.g., graphics, drawings, cartoons, illustrations).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.), GL-PvdA: Frans Timmermans",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), GL-PvdA, GL-PvdA: Frans Timmermans, PVV, PVV: Geert Wilders, FvD","Call to vote / get-out-the-vote call (WITHOUT AND WITH NAMING OF PARTY(S), Domestic and migration policy (public safety, crime (incl. femicide), political radicalism, religious fanaticism, terrorism), Environmental and energy policy, Housing (Crisis)",Negative tendency/tonality present,"Attack on a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)","GL-PvdA, GL-PvdA: Frans Timmermans",Positive tendency/tonality NOT present,NA,NA,15
Ella,14/09/2025 16:04:22,https://www.instagram.com/p/DNoKX5ko7-R/,DNoKX5ko7-R,Post available,One or more images included,"Yes, the image/video is COMPLETELY AI-generated",The image/video does NOT contain a disclaimer labeling content/sequences as AI-generated,The post text does NOT contain a disclaimer labeling image/video content/sequences as AI-generated,The post/ad does NOT contain a disclaimer labeling content/sequences as AI-generated,Political positioning,"The image/video does NOT contain real-looking content or does not give the impression of showing real objects, people, or events (e.g., graphics, drawings, cartoons, illustrations).",Person(s) shown,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens such as teachers, pensioners, students, caregivers, etc.)",x,"Ordinary people / average citizens / ordinary supporters (e.g., individuals as well as groups of citizens, such as teachers, pensioners, students, caregivers, etc.), Dutch government, ministries, parliament, and courts (ALSO KABINET SCHOOF), PVV","Economy and finance, Europe",Negative tendency/tonality present,"Attack on a person/party/organization/institution (professional or personal competence, trustworthiness, credibility, moral stance and/or integrity, rhetorical skills, or appearance)","Europe/EU/NATO, EU/NATO institutions and bodies & their representatives (e.g., Members of the European Parliament, EU/NATO officials, European parties & party families such as EPP, S&D, ID)",Positive tendency/tonality NOT present,NA,NA,7
